"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"9738";"19";"12";"";"EG SYN 115";"";"BPI";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9739";"20";"13";"";"EG SYN 116";"";"BPI";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9740";"24";"14";"";"EG SYN 118";"";"BPI";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9741";"26";"15";"";"PUERTO RICO GP. 1";"";"CIMMYT";"Z. mays L. ";"Puerto Rico";"";"";"";"";"1974";"1974";"Yellow";"18° 15' 0"" N";"66° 30' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9742";"28";"16";"";"X-304 B";"";"";"Z. mays L. ";"Unknown";"";"";"";"";"1974";"1974";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9743";"29";"17";"";"Yellow COMPLEX";"";"";"Z. mays L. ";"Unknown";"";"";"";"";"1974";"1974";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9744";"30";"18";"";"AROMAN WHITE  FLINT";"";"";"Z. mays L. ";"Unknown";"";"";"";"";"1974";"1974";"White/Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9745";"32";"19";"";"(CUPURICO x BAHIA III) #4";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White/Light Purple";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9746";"33";"20";"";"(CUBA GPO x CUPURICO) S1";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9747";"36";"21";"";"(FLINT COMP AMAR x METRO)";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9748";"37";"22";"";"(TAMPS 8 x ANT GRP 2) # x MIT) #R";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9749";"38";"23";"";"(CUPURICO x TWXP COMP AMAR) # x MIT] #R";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9750";"40";"24";"";"(TWXP x PH 9 DMR) #5";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9751";"43";"25";"";"[(CUPURICO x BAHIA III) #2 60 DAYS GPM] #";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9752";"46";"26";"";"(A 206 DMR X CUBA GPO 1) #5";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9753";"48";"27";"";"(COLORADO MAN FREDI x CUBA GPO 1) #4";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
